Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8387,17,17,2,2,8,Stick,17,Draw
8388,19,20,3,2,10,Hit Stick,13 19,Loss
8389,23,20,6,2,10,Hit Hit Hit Hit,13 14 18 19,Loss
8390,15,17,2,3,10,Stick,15,Loss
8391,16,19,2,5,1,Stick,16,Loss
8392,21,21,3,2,1,Hit Stick,11 21,Draw
8393,12,22,2,3,8,Stick,12,Win
8394,14,21,2,4,3,Stick,14,Loss
8395,27,20,3,2,10,Hit,17,Loss
8396,17,25,2,4,1,Stick,17,Win
8397,27,19,6,2,9,Hit Hit Hit Hit,7 14 18 19,Loss
8398,17,26,4,3,6,Hit Hit Stick,14 14 17,Win
8399,20,24,4,3,7,Hit Hit Stick,10 14 20,Win
8400,21,25,2,4,10,Stick,21,Win
8401,24,15,4,2,7,Hit Hit,7 14,Loss
8402,21,20,4,2,10,Hit Hit Stick,14 15 21,Win
8403,25,20,5,2,10,Hit Hit Hit,12 13 15,Loss
8404,13,20,2,4,10,Stick,13,Loss
8405,18,24,2,5,6,Stick,18,Win
8406,17,23,2,3,10,Stick,17,Win
8407,20,18,3,2,9,Hit Stick,10 20,Win
8408,17,22,3,3,10,Hit Stick,10 17,Win
8409,16,20,3,3,2,Hit Stick,6 16,Loss
8410,17,18,3,3,2,Hit Stick,9 17,Loss
8411,15,17,3,3,5,Hit Stick,8 15,Loss
8412,20,22,2,3,10,Stick,20,Win
8413,19,19,2,2,8,Stick,19,Draw
8414,16,23,3,5,1,Hit Stick,11 16,Win
8415,26,20,4,2,10,Hit Hit,6 16,Loss
8416,24,18,3,2,10,Hit,15,Loss
8417,20,20,4,2,10,Hit Hit Stick,5 11 20,Draw
8418,22,16,3,2,1,Hit,12,Loss
8419,20,25,3,4,4,Hit Stick,11 20,Win
8420,21,23,3,3,7,Hit Stick,13 21,Win
8421,16,24,2,4,8,Stick,16,Win
8422,15,17,2,4,2,Stick,15,Loss
8423,19,21,2,3,3,Stick,19,Loss
8424,17,23,2,3,10,Stick,17,Win
8425,18,19,2,3,1,Stick,18,Loss
8426,22,20,4,2,10,Hit Hit,18 12,Loss
8427,17,18,3,3,9,Hit Stick,10 17,Loss
8428,14,23,2,3,10,Stick,14,Win
8429,17,21,2,3,2,Stick,17,Loss
8430,18,19,3,4,4,Hit Stick,12 18,Loss
8431,16,17,4,3,7,Hit Hit Stick,12 15 16,Loss
8432,20,25,2,4,3,Stick,20,Win
8433,23,17,4,2,10,Hit Hit,12 13,Loss
8434,22,17,4,2,9,Hit Hit,7 16,Loss
8435,12,19,2,4,5,Stick,12,Loss
8436,22,19,3,2,9,Hit,17,Loss
8437,14,23,2,3,10,Stick,14,Win
8438,20,20,3,2,10,Hit Stick,14 20,Draw
8439,16,18,4,4,5,Hit Hit Stick,13 13 16,Loss
8440,17,23,2,4,5,Stick,17,Win
8441,25,18,4,2,1,Hit Hit,12 15,Loss
8442,20,18,2,3,5,Stick,20,Win
8443,25,17,3,2,7,Hit,15,Loss
8444,16,17,2,2,8,Stick,16,Loss
8445,20,17,3,2,1,Hit Stick,13 20,Win
8446,17,20,2,3,7,Stick,17,Loss
8447,26,20,5,2,10,Hit Hit Hit,13 13 17,Loss
8448,21,20,4,2,10,Hit Hit Stick,7 11 21,Win
8449,19,24,3,3,5,Hit Stick,12 19,Win
8450,20,21,2,2,10,Stick,20,Loss
8451,17,17,3,2,1,Hit Stick,14 17,Draw
8452,23,19,4,2,10,Hit Hit,14 13,Loss
8453,20,26,3,3,10,Hit Stick,13 20,Win
8454,23,17,3,2,1,Hit,14,Loss
8455,21,19,2,2,9,Stick,21,Win
8456,17,21,2,2,1,Stick,17,Loss
8457,24,9,3,2,7,Hit,14,Loss
8458,15,20,3,3,2,Hit Stick,10 15,Loss
8459,22,15,3,2,10,Hit,12,Loss
8460,21,18,2,2,10,Stick,21,Win
8461,15,24,2,3,5,Stick,15,Win
8462,19,18,4,3,2,Hit Hit Stick,4 11 19,Win
8463,18,18,3,2,8,Hit Stick,9 18,Draw
8464,21,20,2,2,10,Stick,21,Win
8465,23,9,3,2,4,Hit,13,Loss
8466,18,20,2,3,4,Stick,18,Loss
8467,13,20,3,3,10,Hit Stick,7 13,Loss
8468,20,23,2,3,10,Stick,20,Win
8469,20,25,2,5,5,Stick,20,Win
8470,18,26,2,5,2,Stick,18,Win
8471,17,21,2,4,10,Stick,17,Loss
8472,19,17,2,4,3,Stick,19,Win
8473,18,18,3,2,10,Hit Stick,13 18,Draw
8474,15,17,3,2,10,Hit Stick,14 15,Loss
8475,12,25,2,3,7,Stick,12,Win
8476,19,20,2,4,2,Stick,19,Loss
8477,14,22,2,3,3,Stick,14,Win
8478,15,24,2,3,10,Stick,15,Win
8479,14,18,2,3,10,Stick,14,Loss
8480,19,20,2,3,2,Stick,19,Loss
8481,20,25,2,3,5,Stick,20,Win
8482,17,20,2,3,10,Stick,17,Loss
8483,22,17,3,2,9,Hit,13,Loss
8484,13,17,2,4,5,Stick,13,Loss
8485,24,20,4,2,10,Hit Hit,4 14,Loss
8486,17,17,2,2,7,Stick,17,Draw
8487,21,18,3,4,3,Hit Stick,11 21,Win
8488,21,21,2,3,9,Stick,21,Draw
8489,16,18,3,3,3,Hit Stick,6 16,Loss
8490,20,19,3,2,1,Hit Stick,16 20,Win
8491,15,21,2,3,4,Stick,15,Loss
8492,20,21,4,3,3,Hit Hit Stick,7 11 20,Loss
8493,20,19,3,3,10,Hit Stick,9 20,Win
8494,16,24,2,3,9,Stick,16,Win
8495,20,25,2,3,10,Stick,20,Win
8496,16,18,2,3,4,Stick,16,Loss
8497,20,25,2,4,6,Stick,20,Win
8498,18,18,3,4,1,Hit Stick,9 18,Draw
8499,15,22,3,4,8,Hit Stick,12 15,Win
8500,17,22,2,3,10,Stick,17,Win
8501,14,25,2,4,4,Stick,14,Win
8502,20,18,2,2,10,Stick,20,Win
8503,24,16,4,2,6,Hit Hit,12 14,Loss
8504,21,22,2,4,3,Stick,21,Win
8505,25,13,5,2,3,Hit Hit Hit,4 9 15,Loss
8506,17,20,2,3,5,Stick,17,Loss
8507,20,19,4,2,10,Hit Hit Stick,10 12 20,Win
8508,13,23,2,3,10,Stick,13,Win
8509,23,20,3,2,1,Hit,13,Loss
8510,22,18,3,2,10,Hit,14,Loss
8511,22,15,3,2,1,Hit,12,Loss
8512,24,19,3,2,10,Hit,14,Loss
8513,17,21,3,3,6,Hit Stick,8 17,Loss
8514,14,23,2,4,4,Stick,14,Win
8515,20,21,3,4,7,Hit Stick,13 20,Loss
8516,18,25,2,4,5,Stick,18,Win
8517,17,23,3,4,2,Hit Stick,7 17,Win
8518,17,18,2,3,10,Stick,17,Loss
8519,18,26,2,3,9,Stick,18,Win
8520,27,21,3,2,10,Hit,19,Loss
8521,17,21,3,3,5,Hit Stick,13 17,Loss
