Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
5102,16,25,2,3,5,Stick,16,Win
5103,21,17,3,2,9,Hit Stick,10 21,Win
5104,20,25,2,4,3,Stick,20,Win
5105,20,22,2,3,7,Stick,20,Win
5106,14,24,2,3,9,Stick,14,Win
5107,21,19,2,2,10,Stick,21,Win
5108,12,22,2,4,6,Stick,12,Win
5109,19,23,3,4,7,Hit Stick,16 19,Win
5110,20,22,2,5,5,Stick,20,Win
5111,14,25,3,4,4,Hit Stick,13 14,Win
5112,20,24,2,4,10,Stick,20,Win
5113,20,18,3,2,10,Hit Stick,10 20,Win
5114,30,21,3,2,1,Hit,20,Loss
5115,18,22,2,3,4,Stick,18,Win
5116,19,19,2,3,6,Stick,19,Draw
5117,15,20,3,4,6,Hit Stick,10 15,Loss
5118,16,25,4,4,10,Hit Hit Stick,15 16 16,Win
5119,22,19,4,2,10,Hit Hit,5 13,Loss
5120,16,18,2,3,10,Stick,16,Loss
5121,20,21,2,2,10,Stick,20,Loss
5122,12,22,2,5,2,Stick,12,Win
5123,20,18,2,2,10,Stick,20,Win
5124,14,17,3,3,10,Hit Stick,11 14,Loss
5125,23,11,3,2,4,Hit,14,Loss
5126,18,21,2,3,5,Stick,18,Loss
5127,17,26,2,3,10,Stick,17,Win
5128,27,18,4,2,9,Hit Hit,7 17,Loss
5129,18,24,3,4,10,Hit Stick,9 18,Win
5130,18,18,2,3,6,Stick,18,Draw
5131,25,19,5,2,9,Hit Hit Hit,12 16 18,Loss
5132,19,20,2,3,6,Stick,19,Loss
5133,17,20,3,3,5,Hit Stick,10 17,Loss
5134,21,23,2,3,10,Stick,21,Win
5135,20,17,2,3,6,Stick,20,Win
5136,12,17,2,4,6,Stick,12,Loss
5137,22,15,3,2,4,Hit,12,Loss
5138,16,18,2,4,2,Stick,16,Loss
5139,20,18,3,2,8,Hit Stick,13 20,Win
5140,20,17,2,2,8,Stick,20,Win
5141,23,20,3,2,10,Hit,15,Loss
5142,15,23,2,3,3,Stick,15,Win
5143,12,24,2,3,10,Stick,12,Win
5144,20,26,2,4,2,Stick,20,Win
