Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8457,21,18,3,2,8,Hit Stick,11 21,Win
8458,19,19,3,3,1,Hit Stick,14 19,Draw
8459,22,4,3,2,2,Hit,12,Loss
8460,19,20,2,2,10,Stick,19,Loss
8461,22,19,3,2,10,Hit,12,Loss
8462,21,24,2,4,4,Stick,21,Win
8463,23,21,4,2,10,Hit Hit,8 14,Loss
8464,20,23,2,3,7,Stick,20,Win
8465,19,20,3,3,10,Hit Stick,14 19,Loss
8466,23,17,3,2,7,Hit,15,Loss
8467,19,18,3,3,4,Hit Stick,14 19,Win
8468,26,19,5,2,10,Hit Hit Hit,13 13 16,Loss
8469,21,19,3,3,10,Hit Stick,12 21,Win
8470,18,22,3,3,10,Hit Stick,8 18,Win
8471,19,20,2,2,10,Stick,19,Loss
8472,17,21,3,2,1,Hit Stick,14 17,Loss
8473,25,20,3,2,1,Hit,17,Loss
8474,15,25,3,4,2,Hit Stick,12 15,Win
8475,24,16,4,2,5,Hit Hit,10 14,Loss
8476,14,18,3,3,2,Hit Stick,15 14,Loss
8477,24,20,3,2,10,Hit,14,Loss
8478,18,23,3,4,7,Hit Stick,11 18,Win
8479,15,21,2,3,6,Stick,15,Loss
8480,16,23,2,3,4,Stick,16,Win
8481,16,25,2,4,3,Stick,16,Win
8482,26,19,6,2,8,Hit Hit Hit Hit,14 14 17 18,Loss
8483,21,19,3,3,8,Hit Stick,11 21,Win
8484,24,17,4,2,7,Hit Hit,12 14,Loss
8485,21,18,4,2,8,Hit Hit Stick,12 15 21,Win
8486,23,18,3,2,10,Hit,16,Loss
8487,20,24,2,4,3,Stick,20,Win
8488,22,19,3,2,9,Hit,14,Loss
8489,14,20,3,3,9,Hit Stick,13 14,Loss
8490,21,18,4,3,5,Hit Hit Stick,7 11 21,Win
8491,20,24,2,3,6,Stick,20,Win
8492,22,19,4,2,10,Hit Hit,8 12,Loss
8493,15,24,2,3,6,Stick,15,Win
8494,18,24,3,3,7,Hit Stick,15 18,Win
8495,20,17,2,4,2,Stick,20,Win
8496,25,20,3,2,10,Hit,18,Loss
8497,14,22,3,3,10,Hit Stick,9 14,Win
8498,20,21,2,2,10,Stick,20,Loss
8499,20,24,3,4,2,Hit Stick,15 20,Win
8500,26,17,3,2,7,Hit,16,Loss
8501,19,19,2,3,4,Stick,19,Draw
8502,15,21,2,4,5,Stick,15,Loss
8503,20,17,2,4,7,Stick,20,Win
8504,23,18,4,2,10,Hit Hit,13 13,Loss
8505,12,20,2,3,10,Stick,12,Loss
8506,21,21,3,2,1,Hit Stick,14 21,Draw
8507,22,7,3,2,2,Hit,12,Loss
8508,21,20,2,3,10,Stick,21,Win
8509,17,23,3,3,9,Hit Stick,6 17,Win
8510,18,21,2,3,8,Stick,18,Loss
8511,23,20,4,2,10,Hit Hit,13 16,Loss
8512,22,7,3,2,2,Hit,13,Loss
8513,19,17,3,3,8,Hit Stick,8 19,Win
