Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
5213,14,19,3,3,3,Hit Stick,17 14,Loss
5214,14,18,2,4,2,Stick,14,Loss
5215,28,20,3,2,10,Hit,18,Loss
5216,20,24,4,3,4,Hit Hit Stick,4 15 20,Win
5217,13,18,2,3,9,Stick,13,Loss
5218,19,22,2,3,3,Stick,19,Win
5219,19,23,2,3,3,Stick,19,Win
5220,17,21,3,3,10,Hit Stick,7 17,Loss
5221,20,17,2,3,6,Stick,20,Win
5222,21,19,2,2,9,Stick,21,Win
5223,25,9,3,2,7,Hit,15,Loss
5224,15,26,2,3,8,Stick,15,Win
5225,17,17,3,2,6,Hit Stick,16 17,Draw
5226,20,17,6,2,10,Hit Hit Hit Hit Stick,5 16 12 14 20,Win
5227,15,19,2,3,3,Stick,15,Loss
5228,26,20,4,2,10,Hit Hit,12 16,Loss
5229,18,21,2,3,4,Stick,18,Loss
5230,17,17,2,3,10,Stick,17,Draw
5231,24,20,3,2,10,Hit,14,Loss
5232,16,20,3,3,2,Hit Stick,11 16,Loss
5233,21,22,2,4,6,Stick,21,Win
5234,15,19,2,3,7,Stick,15,Loss
5235,21,22,3,3,6,Hit Stick,11 21,Win
5236,20,22,3,3,10,Hit Stick,11 20,Win
5237,24,18,4,2,8,Hit Hit,14 15,Loss
5238,24,10,4,2,5,Hit Hit,13 14,Loss
5239,13,22,2,4,3,Stick,13,Win
5240,22,17,4,2,10,Hit Hit,12 14,Loss
5241,20,24,2,3,4,Stick,20,Win
5242,21,17,4,3,6,Hit Hit Stick,7 13 21,Win
5243,12,17,2,3,9,Stick,12,Loss
5244,13,26,2,3,6,Stick,13,Win
5245,27,18,3,2,10,Hit,17,Loss
5246,26,18,4,2,8,Hit Hit,15 16,Loss
5247,21,17,3,2,10,Hit Stick,10 21,Win
5248,19,21,2,3,9,Stick,19,Loss
5249,12,21,3,3,10,Hit Stick,16 12,Loss
5250,18,17,3,3,3,Hit Stick,11 18,Win
5251,17,17,3,3,4,Hit Stick,7 17,Draw
5252,15,18,2,4,10,Stick,15,Loss
5253,19,20,2,3,4,Stick,19,Loss
5254,26,20,3,2,10,Hit,18,Loss
5255,18,23,2,3,4,Stick,18,Win
5256,20,18,3,3,2,Hit Stick,10 20,Win
5257,20,21,2,2,10,Stick,20,Loss
5258,15,20,2,3,1,Stick,15,Loss
5259,22,18,3,2,10,Hit,16,Loss
5260,17,21,2,3,5,Stick,17,Loss
5261,16,19,2,4,9,Stick,16,Loss
5262,23,18,3,2,8,Hit,16,Loss
5263,27,20,3,2,10,Hit,17,Loss
5264,23,19,4,2,8,Hit Hit,13 13,Loss
5265,19,17,4,3,6,Hit Hit Stick,7 11 19,Win
5266,20,17,5,3,3,Hit Hit Hit Stick,12 12 15 20,Win
5267,21,20,2,3,8,Stick,21,Win
5268,29,20,4,2,10,Hit Hit,20 19,Loss
5269,16,19,3,3,10,Hit Stick,9 16,Loss
5270,20,22,2,3,4,Stick,20,Win
5271,21,22,3,4,2,Hit Stick,11 21,Win
5272,23,19,4,2,10,Hit Hit,14 17,Loss
5273,27,20,5,2,10,Hit Hit Hit,14 16 17,Loss
5274,18,18,3,3,3,Hit Stick,12 18,Draw
5275,23,17,3,2,8,Hit,13,Loss
5276,13,17,2,4,1,Stick,13,Loss
5277,13,21,3,3,10,Hit Stick,9 13,Loss
5278,20,26,2,3,6,Stick,20,Win
5279,20,18,2,2,10,Stick,20,Win
5280,25,19,5,2,10,Hit Hit Hit,12 17 18,Loss
5281,18,20,2,4,2,Stick,18,Loss
5282,20,21,2,2,10,Stick,20,Loss
5283,21,20,2,3,5,Stick,21,Win
5284,21,21,3,3,2,Hit Stick,11 21,Draw
5285,18,21,2,3,2,Stick,18,Loss
5286,24,20,4,2,10,Hit Hit,14 14,Loss
5287,16,19,2,4,3,Stick,16,Loss
5288,19,26,3,3,6,Hit Stick,9 19,Win
5289,17,24,3,3,5,Hit Stick,7 17,Win
5290,23,20,4,2,10,Hit Hit,9 13,Loss
5291,21,17,2,2,9,Stick,21,Win
5292,19,17,2,2,7,Stick,19,Win
5293,17,19,2,3,10,Stick,17,Loss
5294,20,26,4,4,5,Hit Hit Stick,7 10 20,Win
5295,15,25,3,4,4,Hit Stick,8 15,Win
5296,21,20,3,2,10,Hit Stick,11 21,Win
5297,29,21,4,2,1,Hit Hit,9 19,Loss
5298,21,24,2,3,8,Stick,21,Win
5299,16,17,2,3,10,Stick,16,Loss
5300,14,26,3,4,9,Hit Stick,14 14,Win
5301,16,23,2,3,5,Stick,16,Win
5302,15,23,4,3,5,Hit Hit Stick,14 15 15,Win
5303,21,18,3,2,8,Hit Stick,13 21,Win
5304,18,18,3,2,10,Hit Stick,12 18,Draw
5305,21,20,2,3,6,Stick,21,Win
5306,21,17,3,2,10,Hit Stick,11 21,Win
5307,15,19,3,4,2,Hit Stick,5 15,Loss
5308,18,20,2,3,5,Stick,18,Loss
5309,21,17,2,3,1,Stick,21,Win
5310,17,21,3,4,3,Hit Stick,11 17,Loss
5311,13,23,2,5,10,Stick,13,Win
5312,20,19,2,2,10,Stick,20,Win
5313,19,22,2,4,9,Stick,19,Win
5314,20,26,2,3,8,Stick,20,Win
5315,17,19,3,3,4,Hit Stick,10 17,Loss
5316,17,20,2,3,9,Stick,17,Loss
5317,17,21,2,3,10,Stick,17,Loss
5318,17,17,3,3,3,Hit Stick,7 17,Draw
5319,12,21,3,3,9,Hit Stick,10 12,Loss
5320,15,23,3,4,10,Hit Stick,16 15,Win
5321,21,19,2,2,9,Stick,21,Win
5322,22,18,4,2,8,Hit Hit,11 12,Loss
5323,15,24,3,3,4,Hit Stick,16 15,Win
5324,21,19,3,3,5,Hit Stick,13 21,Win
5325,26,20,3,2,10,Hit,16,Loss
5326,21,17,4,2,7,Hit Hit Stick,13 14 21,Win
5327,17,24,3,4,2,Hit Stick,10 17,Win
5328,24,20,3,2,10,Hit,16,Loss
5329,17,17,3,2,1,Hit Stick,13 17,Draw
5330,17,23,3,3,4,Hit Stick,8 17,Win
5331,12,18,2,3,10,Stick,12,Loss
5332,15,21,2,3,1,Stick,15,Loss
5333,18,25,3,3,8,Hit Stick,8 18,Win
5334,20,18,3,4,3,Hit Stick,10 20,Win
5335,18,17,2,2,10,Stick,18,Win
5336,16,23,2,4,7,Stick,16,Win
5337,20,20,4,2,10,Hit Hit Stick,8 12 20,Draw
5338,18,26,2,3,10,Stick,18,Win
5339,21,18,2,4,4,Stick,21,Win
5340,21,19,2,3,6,Stick,21,Win
5341,21,26,2,3,6,Stick,21,Win
5342,12,17,2,3,9,Stick,12,Loss
5343,18,21,2,3,2,Stick,18,Loss
5344,14,23,2,4,2,Stick,14,Win
5345,19,22,2,4,1,Stick,19,Win
5346,18,22,3,3,9,Hit Stick,10 18,Win
5347,18,25,3,5,7,Hit Stick,11 18,Win
5348,18,20,2,3,5,Stick,18,Loss
5349,18,19,2,5,3,Stick,18,Loss
5350,20,19,2,2,8,Stick,20,Win
5351,14,18,2,3,2,Stick,14,Loss
5352,16,23,2,4,4,Stick,16,Win
5353,19,19,4,2,8,Hit Hit Stick,14 16 19,Draw
5354,25,7,3,2,4,Hit,15,Loss
5355,16,23,2,3,7,Stick,16,Win
5356,21,20,3,2,10,Hit Stick,11 21,Win
5357,7,21,2,2,10,Stick,7,Loss
5358,18,19,3,4,3,Hit Stick,14 18,Loss
5359,27,20,4,2,10,Hit Hit,12 18,Loss
5360,20,20,2,3,2,Stick,20,Draw
5361,17,20,2,3,3,Stick,17,Loss
5362,15,19,2,4,3,Stick,15,Loss
5363,20,24,2,3,4,Stick,20,Win
5364,15,18,2,3,5,Stick,15,Loss
5365,16,19,2,4,6,Stick,16,Loss
5366,20,17,2,3,2,Stick,20,Win
5367,13,25,2,4,4,Stick,13,Win
5368,18,17,3,3,4,Hit Stick,16 18,Win
5369,21,18,3,2,10,Hit Stick,16 21,Win
5370,29,21,4,2,1,Hit Hit,16 19,Loss
5371,16,17,2,3,7,Stick,16,Loss
5372,20,21,3,2,10,Hit Stick,16 20,Loss
5373,25,20,3,2,9,Hit,16,Loss
5374,16,21,3,4,2,Hit Stick,9 16,Loss
5375,20,19,2,2,1,Stick,20,Win
5376,16,21,2,3,3,Stick,16,Loss
5377,14,21,2,3,5,Stick,14,Loss
5378,22,20,3,2,10,Hit,15,Loss
5379,15,20,2,4,4,Stick,15,Loss
5380,19,18,3,2,8,Hit Stick,15 19,Win
5381,20,17,3,3,9,Hit Stick,12 20,Win
5382,26,20,3,2,10,Hit,16,Loss
5383,21,17,2,2,10,Stick,21,Win
5384,15,19,2,3,10,Stick,15,Loss
5385,20,18,4,3,4,Hit Hit Stick,12 14 20,Win
5386,20,21,2,3,8,Stick,20,Loss
5387,20,20,5,2,10,Hit Hit Hit Stick,11 13 18 20,Draw
5388,15,25,2,4,2,Stick,15,Win
5389,18,26,2,3,6,Stick,18,Win
5390,19,24,4,4,10,Hit Hit Stick,6 9 19,Win
5391,19,18,2,3,9,Stick,19,Win
5392,25,13,3,2,5,Hit,20,Loss
5393,17,20,2,3,2,Stick,17,Loss
5394,12,22,2,3,4,Stick,12,Win
5395,22,6,3,2,4,Hit,12,Loss
5396,25,20,4,2,10,Hit Hit,14 17,Loss
