Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8024,25,13,3,2,4,Hit,15,Loss
8025,20,17,3,3,5,Hit Stick,14 20,Win
8026,14,23,3,3,5,Hit Stick,11 14,Win
8027,26,20,4,2,10,Hit Hit,13 16,Loss
8028,18,17,4,2,10,Hit Hit Stick,12 14 18,Win
8029,17,22,2,3,2,Stick,17,Win
8030,22,15,3,2,8,Hit,15,Loss
8031,19,22,2,3,6,Stick,19,Win
8032,19,22,3,3,5,Hit Stick,9 19,Win
8033,16,21,2,3,7,Stick,16,Loss
8034,24,17,3,2,10,Hit,14,Loss
8035,23,13,3,2,2,Hit,13,Loss
8036,21,18,2,2,8,Stick,21,Win
8037,15,19,3,3,6,Hit Stick,7 15,Loss
8038,20,20,2,5,3,Stick,20,Win
8039,20,19,3,4,1,Hit Stick,14 20,Win
8040,17,18,2,2,8,Stick,17,Loss
8041,20,19,3,3,2,Hit Stick,13 20,Win
8042,19,17,3,4,3,Hit Stick,14 19,Win
8043,14,23,2,3,3,Stick,14,Win
8044,25,19,3,2,10,Hit,15,Loss
8045,18,19,2,4,3,Stick,18,Loss
8046,20,18,3,2,8,Hit Stick,12 20,Win
8047,18,23,2,3,6,Stick,18,Win
8048,19,19,3,3,2,Hit Stick,13 19,Win
8049,20,18,2,3,4,Stick,20,Win
8050,18,20,2,3,5,Stick,18,Loss
8051,19,17,3,3,7,Hit Stick,13 19,Win
8052,17,19,2,4,2,Stick,17,Loss
8053,20,26,2,3,7,Stick,20,Win
8054,19,17,3,3,4,Hit Stick,13 19,Win
8055,20,17,2,4,1,Stick,20,Win
8056,16,20,2,5,2,Stick,16,Loss
8057,20,26,2,3,7,Stick,20,Win
8058,25,13,3,2,10,Hit,15,Loss
8059,18,19,2,4,3,Stick,18,Loss
8060,17,20,3,3,8,Hit Stick,7 17,Loss
8061,20,18,2,3,2,Stick,20,Win
8062,23,20,3,2,10,Hit,13,Loss
8063,20,21,2,3,7,Stick,20,Loss
8064,17,21,2,5,1,Stick,17,Loss
8065,21,18,3,4,5,Hit Stick,11 21,Win
8066,16,21,3,2,1,Hit Stick,11 16,Loss
8067,18,19,3,3,4,Hit Stick,10 18,Loss
8068,15,23,2,3,6,Stick,15,Win
8069,20,26,2,4,10,Stick,20,Win
8070,21,19,3,2,9,Hit Stick,11 21,Win
8071,19,21,3,2,10,Hit Stick,13 19,Loss
8072,15,25,2,3,10,Stick,15,Win
8073,16,18,2,2,7,Stick,16,Loss
8074,25,12,3,2,10,Hit,15,Loss
8075,16,21,4,4,5,Hit Hit Stick,13 14 16,Loss
8076,20,17,2,2,7,Stick,20,Win
8077,16,25,2,3,9,Stick,16,Win
8078,21,17,4,3,8,Hit Hit Stick,6 11 21,Win
8079,19,23,2,4,3,Stick,19,Win
8080,16,25,3,3,5,Hit Stick,9 16,Win
8081,18,23,3,3,4,Hit Stick,13 18,Win
8082,16,26,2,3,7,Stick,16,Win
8083,23,19,3,2,9,Hit,13,Loss
8084,19,18,2,4,10,Stick,19,Win
8085,21,22,2,3,6,Stick,21,Win
8086,16,20,2,4,2,Stick,16,Loss
8087,16,19,2,3,5,Stick,16,Loss
8088,23,12,3,2,10,Hit,13,Loss
8089,18,20,3,4,2,Hit Stick,14 18,Loss
8090,18,25,2,4,4,Stick,18,Win
8091,14,25,3,3,10,Hit Stick,11 14,Win
8092,19,19,4,2,9,Hit Hit Stick,8 15 19,Win
8093,19,17,4,2,7,Hit Hit Stick,6 17 19,Win
8094,20,21,2,3,6,Stick,20,Loss
8095,22,12,3,2,6,Hit,12,Loss
8096,16,23,2,3,3,Stick,16,Win
8097,19,25,3,3,6,Hit Stick,9 19,Win
8098,18,19,5,3,5,Hit Hit Hit Stick,4 9 12 18,Loss
8099,19,18,3,2,10,Hit Stick,9 19,Win
8100,22,19,3,2,10,Hit,15,Loss
8101,23,14,3,2,10,Hit,13,Loss
