Game,PlayerFinalHandSum,DealerFinalHandSum,PlayerNumCards,DealerNumCards,DealerVisibleCard,PlayerActions,PlayerHandProgression,Outcome
8553,22,18,4,2,10,Hit Hit,9 12,Loss
8554,15,20,2,4,10,Stick,15,Loss
8555,13,19,2,3,4,Stick,13,Loss
8556,20,18,2,4,2,Stick,20,Win
8557,21,17,2,4,6,Stick,21,Win
8558,16,23,4,3,10,Hit Hit Stick,8 11 16,Win
8559,20,21,2,2,10,Stick,20,Loss
8560,20,19,2,3,2,Stick,20,Win
8561,14,23,3,3,5,Hit Stick,14 14,Win
8562,22,16,3,2,7,Hit,12,Loss
8563,20,21,3,4,5,Hit Stick,10 20,Loss
8564,13,23,2,4,6,Stick,13,Win
8565,22,10,4,2,8,Hit Hit,10 12,Loss
8566,18,21,2,4,3,Stick,18,Loss
8567,28,20,3,2,10,Hit,18,Loss
8568,25,20,3,2,10,Hit,15,Loss
8569,19,18,3,3,5,Hit Stick,10 19,Win
8570,22,18,4,2,7,Hit Hit,5 15,Loss
8571,24,9,3,2,7,Hit,14,Loss
8572,21,17,3,3,10,Hit Stick,11 21,Win
8573,23,18,3,2,10,Hit,13,Loss
8574,18,23,2,4,9,Stick,18,Win
8575,20,21,2,3,5,Stick,20,Loss
8576,19,20,3,3,10,Hit Stick,19 19,Loss
8577,21,20,2,2,10,Stick,21,Win
8578,21,22,4,3,10,Hit Hit Stick,10 19 21,Win
8579,20,17,2,3,5,Stick,20,Win
8580,23,16,3,2,7,Hit,13,Loss
8581,14,25,2,3,5,Stick,14,Win
8582,17,23,2,4,8,Stick,17,Win
8583,24,21,4,2,10,Hit Hit,12 16,Loss
8584,20,18,2,2,1,Stick,20,Win
8585,18,17,3,3,9,Hit Stick,13 18,Win
8586,27,21,3,2,10,Hit,17,Loss
8587,16,20,3,3,10,Hit Stick,15 16,Loss
8588,18,25,4,3,10,Hit Hit Stick,10 12 18,Win
8589,19,26,3,3,7,Hit Stick,9 19,Win
8590,16,18,2,3,10,Stick,16,Loss
8591,24,16,4,2,9,Hit Hit,14 15,Loss
8592,20,23,3,4,7,Hit Stick,10 20,Win
8593,18,19,2,5,2,Stick,18,Loss
8594,18,22,2,3,6,Stick,18,Win
